bc404_att_length | 167.8| cm | BC-404 scintillator attenuation length used for panel-1b counters #1 to #31  | D. Carman | carman@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.11.X | 84.0262595| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.11.Z | 249.0248207| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.11.L | 73.13456545| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.12.X | 89.43238545| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.12.Z | 246.5039028| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.12.L | 79.37702199| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.13.X | 94.8385114| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.13.Z | 243.9829848| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.13.L | 85.61947854| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.14.X | 100.2446373| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.14.Z | 241.4620669| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.14.L | 91.86193508| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.15.X | 105.6507633| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.15.Z | 238.941149| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.15.L | 98.10439162| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.16.X | 111.0568892| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.16.Z | 236.420231| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.16.L | 104.3468482| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.17.X | 116.4630152| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.17.Z | 233.8993131| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.17.L | 110.5893047| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.18.X | 121.8691411| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.18.Z | 231.3783952| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.18.L | 116.8317613| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.19.X | 127.2752671| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.19.Z | 228.8574772| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.19.L | 123.0742178| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.20.X | 132.681393| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.20.Z | 226.3365593| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.20.L | 129.3166743| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.21.X | 138.087519| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.21.Z | 223.8156414| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.21.L | 135.5591309| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.22.X | 143.4936449| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.22.Z | 221.2947234| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.22.L | 141.8015874| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.23.X | 148.8997709| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.23.Z | 218.7738055| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.23.L | 148.044044| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.1.X | 24.30| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.1.ZH | 221.38| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.1.Z | 271.50| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.1.L | 5.99| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.1.phi | 21.34 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.2.X | 26.44| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.2.ZH | 220.37| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.2.Z | 270.50| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.2.L | 5.99| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.2.phi | 19.60 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.3.X | 28.61| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.3.ZH | 219.36| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.3.Z | 269.49| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.3.L | 10.96| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.3.phi | 33.19 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.4.X | 30.83| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.4.ZH | 218.33| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.4.Z | 268.46| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.4.L | 10.96| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.4.phi | 30.80 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.5.X | 33.06| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.5.ZH | 217.29| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.5.Z | 267.42| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.5.L | 16.11| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.5.phi | 42.19 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.6.X | 35.28| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.6.ZH | 216.25| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.6.Z | 266.38| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.6.L | 16.11| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.6.phi | 39.54 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.7.X | 37.52| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.7.ZH | 215.21| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.7.Z | 265.34| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.7.L | 21.25| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.7.phi | 49.06 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.8.X | 39.74| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.8.ZH | 214.18| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.8.Z | 264.31| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.8.L | 21.25| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.8.phi | 46.32 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.9.X | 41.97| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.9.ZH | 213.13| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.9.Z | 263.26| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.9.L | 26.40| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.9.phi | 54.46 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.10.X | 44.19| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.10.ZH | 212.10| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.10.Z | 262.23| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.10.L | 26.40| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.10.phi | 51.73 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.:11.X | 46.43| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.:11.ZH | 211.06| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.:11.Z | 261.19| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.:11.L | 31.54| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.:11.phi | 58.83 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.12.X | 48.64| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.12.ZH | 210.02| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.12.Z | 260.15| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.12.L | 31.54| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.12.phi | 56.15 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.13.X | 50.88| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.13.ZH | 208.98| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.13.Z | 259.11| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.13.L | 36.68| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.13.phi | 62.44 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.14.X | 53.10| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.14.ZH | 207.95| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.14.Z | 258.07| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.14.L | 36.68| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.14.phi | 59.83 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.15.X | 55.33| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.15.ZH | 206.90| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.15.Z | 257.03| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.15.L | 41.83| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.15.phi | 65.46 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.16.X | 57.55| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.16.ZH | 205.87| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.16.Z | 256.00| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.16.L | 41.83| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.16.phi | 62.94 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.17.X | 59.79| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.17.ZH | 204.82| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.17.Z | 254.95| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.17.L | 46.97| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.17.phi | 68.03 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.18.X | 62.01| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.18.ZH | 203.79| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.18.Z | 253.92| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.18.L | 46.97| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.18.phi | 65.60 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.19.X | 64.24| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.19.ZH | 202.75| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.19.Z | 252.88| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.19.L | 52.11| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.19.phi | 70.25 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.20.X | 66.46| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.20.ZH | 201.71| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.20.Z | 251.84| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.20.L | 52.11| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.20.phi | 67.91 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.21.X | 68.70| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.21.ZH | 200.67| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.21.Z | 250.80| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.21.L | 57.26| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.21.phi | 72.18 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.22.X | 70.92| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.22.ZH | 199.64| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.22.Z | 249.77| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.22.L | 57.26| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.22.phi | 69.92 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.23.X | 73.15| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.23.ZH | 198.59| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.23.Z | 248.72| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.23.L | 62.40| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.23.phi | 73.87 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.24.X | 75.37| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.24.ZH | 197.56| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.24.Z | 247.69| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.24.L | 62.40| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.24.phi | 71.70 | inches | Phi Coverage | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.25.X | 77.61| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.25.ZH | 196.52| inches | Paddle Z coordinate Hall Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1b.25.Z | 246.65| inches | Paddle Z coordinate CLAS12 Center | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
