ftof.1a.1.X | 29.965| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.15.L | 98.10439162| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.16.X | 111.0568892| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.16.Z | 236.420231| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.16.L | 104.3468482| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.17.X | 116.4630152| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.17.Z | 233.8993131| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.17.L | 110.5893047| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.18.X | 121.8691411| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.18.Z | 231.3783952| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.18.L | 116.8317613| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.19.X | 127.2752671| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.19.Z | 228.8574772| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.19.L | 123.0742178| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.20.X | 132.681393| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.20.Z | 226.3365593| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.20.L | 129.3166743| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.21.X | 138.087519| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.21.Z | 223.8156414| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.21.L | 135.5591309| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.22.X | 143.4936449| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.22.Z | 221.2947234| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.22.L | 141.8015874| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.23.X | 148.8997709| inches | Paddle X coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.23.Z | 218.7738055| inches | Paddle Z coordinate | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
ftof.1a.23.L | 148.044044| inches | Paddle Length | Gagik Gavalian | gavalian@jlab.org  | link to drawing | variable name | 03/10/2012
